"DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN"
"496" 2020-04-29 "Antwerpen" "Flanders" 18 2020-04-29 "Brussels" "Brussels" 26 2020-04-29 "Hainaut" "Wallonia" 29 2020-04-29 "Limburg" "Flanders" 26 2020-04-29 "Liège" "Wallonia" 14 2020-04-29 "Luxembourg" "Wallonia" 6 2020-04-29 "Namur" "Wallonia" 6 2020-04-29 "OostVlaanderen" "Flanders" 21 2020-04-29 "VlaamsBrabant" "Flanders" 10 2020-04-29 "BrabantWallon" "Wallonia" 2 2020-04-29 "WestVlaanderen" "Flanders" 20
"507" 2020-04-30 "Antwerpen" "Flanders" 22 2020-04-30 "Brussels" "Brussels" 30 2020-04-30 "Hainaut" "Wallonia" 24 2020-04-30 "Limburg" "Flanders" 17 2020-04-30 "Liège" "Wallonia" 17 2020-04-30 "Luxembourg" "Wallonia" 1 2020-04-30 "Namur" "Wallonia" 9 2020-04-30 "OostVlaanderen" "Flanders" 8 2020-04-30 "VlaamsBrabant" "Flanders" 7 2020-04-30 "BrabantWallon" "Wallonia" 3 2020-04-30 "WestVlaanderen" "Flanders" 14
"518" 2020-05-01 "Antwerpen" "Flanders" 14 2020-05-01 "Brussels" "Brussels" 15 2020-05-01 "Hainaut" "Wallonia" 14 2020-05-01 "Limburg" "Flanders" 21 2020-05-01 "Liège" "Wallonia" 12 2020-05-01 "Luxembourg" "Wallonia" 1 2020-05-01 "Namur" "Wallonia" 7 2020-05-01 "OostVlaanderen" "Flanders" 20 2020-05-01 "VlaamsBrabant" "Flanders" 8 2020-05-01 "BrabantWallon" "Wallonia" 3 2020-05-01 "WestVlaanderen" "Flanders" 13
"529" 2020-05-02 "Antwerpen" "Flanders" 18 2020-05-02 "Brussels" "Brussels" 6 2020-05-02 "Hainaut" "Wallonia" 12 2020-05-02 "Limburg" "Flanders" 7 2020-05-02 "Liège" "Wallonia" 12 2020-05-02 "Luxembourg" "Wallonia" 1 2020-05-02 "Namur" "Wallonia" 4 2020-05-02 "OostVlaanderen" "Flanders" 13 2020-05-02 "VlaamsBrabant" "Flanders" 0 2020-05-02 "BrabantWallon" "Wallonia" 0 2020-05-02 "WestVlaanderen" "Flanders" 4
"540" 2020-05-03 "Antwerpen" "Flanders" 13 2020-05-03 "Brussels" "Brussels" 8 2020-05-03 "Hainaut" "Wallonia" 8 2020-05-03 "Limburg" "Flanders" 11 2020-05-03 "Liège" "Wallonia" 3 2020-05-03 "Luxembourg" "Wallonia" 0 2020-05-03 "Namur" "Wallonia" 1 2020-05-03 "OostVlaanderen" "Flanders" 2 2020-05-03 "VlaamsBrabant" "Flanders" 4 2020-05-03 "BrabantWallon" "Wallonia" 0 2020-05-03 "WestVlaanderen" "Flanders" 9
"551" 2020-05-04 "Antwerpen" "Flanders" 13 2020-05-04 "Brussels" "Brussels" 19 2020-05-04 "Hainaut" "Wallonia" 12 2020-05-04 "Limburg" "Flanders" 5 2020-05-04 "Liège" "Wallonia" 1 2020-05-04 "Luxembourg" "Wallonia" 0 2020-05-04 "Namur" "Wallonia" 6 2020-05-04 "OostVlaanderen" "Flanders" 14 2020-05-04 "VlaamsBrabant" "Flanders" 5 2020-05-04 "BrabantWallon" "Wallonia" 1 2020-05-04 "WestVlaanderen" "Flanders" 8
"562" 2020-05-05 "Antwerpen" "Flanders" 8 2020-05-05 "Brussels" "Brussels" 18 2020-05-05 "Hainaut" "Wallonia" 28 2020-05-05 "Limburg" "Flanders" 24 2020-05-05 "Liège" "Wallonia" 4 2020-05-05 "Luxembourg" "Wallonia" 3 2020-05-05 "Namur" "Wallonia" 6 2020-05-05 "OostVlaanderen" "Flanders" 8 2020-05-05 "VlaamsBrabant" "Flanders" 6 2020-05-05 "BrabantWallon" "Wallonia" 1 2020-05-05 "WestVlaanderen" "Flanders" 10
"573" 2020-05-06 "Antwerpen" "Flanders" 27 2020-05-06 "Brussels" "Brussels" 16 2020-05-06 "Hainaut" "Wallonia" 12 2020-05-06 "Limburg" "Flanders" 9 2020-05-06 "Liège" "Wallonia" 10 2020-05-06 "Luxembourg" "Wallonia" 0 2020-05-06 "Namur" "Wallonia" 2 2020-05-06 "OostVlaanderen" "Flanders" 7 2020-05-06 "VlaamsBrabant" "Flanders" 7 2020-05-06 "BrabantWallon" "Wallonia" 2 2020-05-06 "WestVlaanderen" "Flanders" 6
"584" 2020-05-07 "Antwerpen" "Flanders" 11 2020-05-07 "Brussels" "Brussels" 18 2020-05-07 "Hainaut" "Wallonia" 21 2020-05-07 "Limburg" "Flanders" 8 2020-05-07 "Liège" "Wallonia" 8 2020-05-07 "Luxembourg" "Wallonia" 1 2020-05-07 "Namur" "Wallonia" 7 2020-05-07 "OostVlaanderen" "Flanders" 12 2020-05-07 "VlaamsBrabant" "Flanders" 6 2020-05-07 "BrabantWallon" "Wallonia" 0 2020-05-07 "WestVlaanderen" "Flanders" 16
"595" 2020-05-08 "Antwerpen" "Flanders" 11 2020-05-08 "Brussels" "Brussels" 13 2020-05-08 "Hainaut" "Wallonia" 14 2020-05-08 "Limburg" "Flanders" 9 2020-05-08 "Liège" "Wallonia" 8 2020-05-08 "Luxembourg" "Wallonia" 0 2020-05-08 "Namur" "Wallonia" 4 2020-05-08 "OostVlaanderen" "Flanders" 5 2020-05-08 "VlaamsBrabant" "Flanders" 3 2020-05-08 "BrabantWallon" "Wallonia" 0 2020-05-08 "WestVlaanderen" "Flanders" 8
"606" 2020-05-09 "Antwerpen" "Flanders" 9 2020-05-09 "Brussels" "Brussels" 16 2020-05-09 "Hainaut" "Wallonia" 8 2020-05-09 "Limburg" "Flanders" 10 2020-05-09 "Liège" "Wallonia" 5 2020-05-09 "Luxembourg" "Wallonia" 3 2020-05-09 "Namur" "Wallonia" 2 2020-05-09 "OostVlaanderen" "Flanders" 8 2020-05-09 "VlaamsBrabant" "Flanders" 7 2020-05-09 "BrabantWallon" "Wallonia" 2 2020-05-09 "WestVlaanderen" "Flanders" 13
