"DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN"
"111" 2020-03-25 "Antwerpen" "Flanders" 99 2020-03-25 "Brussels" "Brussels" 69 2020-03-25 "Hainaut" "Wallonia" 46 2020-03-25 "Limburg" "Flanders" 69 2020-03-25 "Liège" "Wallonia" 53 2020-03-25 "Luxembourg" "Wallonia" 10 2020-03-25 "Namur" "Wallonia" 18 2020-03-25 "OostVlaanderen" "Flanders" 53 2020-03-25 "VlaamsBrabant" "Flanders" 31 2020-03-25 "BrabantWallon" "Wallonia" 9 2020-03-25 "WestVlaanderen" "Flanders" 83
"122" 2020-03-26 "Antwerpen" "Flanders" 74 2020-03-26 "Brussels" "Brussels" 76 2020-03-26 "Hainaut" "Wallonia" 50 2020-03-26 "Limburg" "Flanders" 54 2020-03-26 "Liège" "Wallonia" 60 2020-03-26 "Luxembourg" "Wallonia" 17 2020-03-26 "Namur" "Wallonia" 13 2020-03-26 "OostVlaanderen" "Flanders" 43 2020-03-26 "VlaamsBrabant" "Flanders" 38 2020-03-26 "BrabantWallon" "Wallonia" 7 2020-03-26 "WestVlaanderen" "Flanders" 58
"133" 2020-03-27 "Antwerpen" "Flanders" 76 2020-03-27 "Brussels" "Brussels" 93 2020-03-27 "Hainaut" "Wallonia" 55 2020-03-27 "Limburg" "Flanders" 91 2020-03-27 "Liège" "Wallonia" 75 2020-03-27 "Luxembourg" "Wallonia" 16 2020-03-27 "Namur" "Wallonia" 11 2020-03-27 "OostVlaanderen" "Flanders" 53 2020-03-27 "VlaamsBrabant" "Flanders" 23 2020-03-27 "BrabantWallon" "Wallonia" 12 2020-03-27 "WestVlaanderen" "Flanders" 70
"144" 2020-03-28 "Antwerpen" "Flanders" 118 2020-03-28 "Brussels" "Brussels" 90 2020-03-28 "Hainaut" "Wallonia" 84 2020-03-28 "Limburg" "Flanders" 48 2020-03-28 "Liège" "Wallonia" 52 2020-03-28 "Luxembourg" "Wallonia" 15 2020-03-28 "Namur" "Wallonia" 16 2020-03-28 "OostVlaanderen" "Flanders" 77 2020-03-28 "VlaamsBrabant" "Flanders" 47 2020-03-28 "BrabantWallon" "Wallonia" 8 2020-03-28 "WestVlaanderen" "Flanders" 74
"155" 2020-03-29 "Antwerpen" "Flanders" 64 2020-03-29 "Brussels" "Brussels" 98 2020-03-29 "Hainaut" "Wallonia" 69 2020-03-29 "Limburg" "Flanders" 62 2020-03-29 "Liège" "Wallonia" 50 2020-03-29 "Luxembourg" "Wallonia" 11 2020-03-29 "Namur" "Wallonia" 22 2020-03-29 "OostVlaanderen" "Flanders" 72 2020-03-29 "VlaamsBrabant" "Flanders" 29 2020-03-29 "BrabantWallon" "Wallonia" 7 2020-03-29 "WestVlaanderen" "Flanders" 61
"166" 2020-03-30 "Antwerpen" "Flanders" 77 2020-03-30 "Brussels" "Brussels" 53 2020-03-30 "Hainaut" "Wallonia" 54 2020-03-30 "Limburg" "Flanders" 41 2020-03-30 "Liège" "Wallonia" 66 2020-03-30 "Luxembourg" "Wallonia" 12 2020-03-30 "Namur" "Wallonia" 13 2020-03-30 "OostVlaanderen" "Flanders" 78 2020-03-30 "VlaamsBrabant" "Flanders" 26 2020-03-30 "BrabantWallon" "Wallonia" 9 2020-03-30 "WestVlaanderen" "Flanders" 49
"177" 2020-03-31 "Antwerpen" "Flanders" 88 2020-03-31 "Brussels" "Brussels" 101 2020-03-31 "Hainaut" "Wallonia" 54 2020-03-31 "Limburg" "Flanders" 87 2020-03-31 "Liège" "Wallonia" 58 2020-03-31 "Luxembourg" "Wallonia" 6 2020-03-31 "Namur" "Wallonia" 16 2020-03-31 "OostVlaanderen" "Flanders" 67 2020-03-31 "VlaamsBrabant" "Flanders" 22 2020-03-31 "BrabantWallon" "Wallonia" 6 2020-03-31 "WestVlaanderen" "Flanders" 48
"188" 2020-04-01 "Antwerpen" "Flanders" 96 2020-04-01 "Brussels" "Brussels" 85 2020-04-01 "Hainaut" "Wallonia" 70 2020-04-01 "Limburg" "Flanders" 46 2020-04-01 "Liège" "Wallonia" 73 2020-04-01 "Luxembourg" "Wallonia" 19 2020-04-01 "Namur" "Wallonia" 20 2020-04-01 "OostVlaanderen" "Flanders" 67 2020-04-01 "VlaamsBrabant" "Flanders" 42 2020-04-01 "BrabantWallon" "Wallonia" 5 2020-04-01 "WestVlaanderen" "Flanders" 61
"199" 2020-04-02 "Antwerpen" "Flanders" 85 2020-04-02 "Brussels" "Brussels" 107 2020-04-02 "Hainaut" "Wallonia" 47 2020-04-02 "Limburg" "Flanders" 54 2020-04-02 "Liège" "Wallonia" 88 2020-04-02 "Luxembourg" "Wallonia" 14 2020-04-02 "Namur" "Wallonia" 19 2020-04-02 "OostVlaanderen" "Flanders" 56 2020-04-02 "VlaamsBrabant" "Flanders" 31 2020-04-02 "BrabantWallon" "Wallonia" 7 2020-04-02 "WestVlaanderen" "Flanders" 60
"210" 2020-04-03 "Antwerpen" "Flanders" 76 2020-04-03 "Brussels" "Brussels" 62 2020-04-03 "Hainaut" "Wallonia" 47 2020-04-03 "Limburg" "Flanders" 67 2020-04-03 "Liège" "Wallonia" 37 2020-04-03 "Luxembourg" "Wallonia" 15 2020-04-03 "Namur" "Wallonia" 8 2020-04-03 "OostVlaanderen" "Flanders" 52 2020-04-03 "VlaamsBrabant" "Flanders" 26 2020-04-03 "BrabantWallon" "Wallonia" 6 2020-04-03 "WestVlaanderen" "Flanders" 108
"221" 2020-04-04 "Antwerpen" "Flanders" 68 2020-04-04 "Brussels" "Brussels" 75 2020-04-04 "Hainaut" "Wallonia" 58 2020-04-04 "Limburg" "Flanders" 43 2020-04-04 "Liège" "Wallonia" 63 2020-04-04 "Luxembourg" "Wallonia" 11 2020-04-04 "Namur" "Wallonia" 12 2020-04-04 "OostVlaanderen" "Flanders" 73 2020-04-04 "VlaamsBrabant" "Flanders" 23 2020-04-04 "BrabantWallon" "Wallonia" 7 2020-04-04 "WestVlaanderen" "Flanders" 66
"232" 2020-04-05 "Antwerpen" "Flanders" 59 2020-04-05 "Brussels" "Brussels" 66 2020-04-05 "Hainaut" "Wallonia" 41 2020-04-05 "Limburg" "Flanders" 34 2020-04-05 "Liège" "Wallonia" 32 2020-04-05 "Luxembourg" "Wallonia" 3 2020-04-05 "Namur" "Wallonia" 14 2020-04-05 "OostVlaanderen" "Flanders" 41 2020-04-05 "VlaamsBrabant" "Flanders" 26 2020-04-05 "BrabantWallon" "Wallonia" 6 2020-04-05 "WestVlaanderen" "Flanders" 36
